sk_id_curr,amt_credit,amt_goods_price,credit_agency_1_rating,credit_agency_2_rating,credit_agency_3_rating,days_credit,days_credit_enddate,remaining_installment,buro_avg_amt_instalment,buro_max_amt_instalment,occupation_type,organization_type,code_gender,days_birth,days_id_publish,customer_since,annual_income,days_employed,name_contract_type,target
1002553,358344.0,283500.0,0.0,0.555696,0.706205,-1095.17,470.167,5.31579,4103.61,82395.0,Managers,School,F,19708,3262,9777,200000,11466,Cash loans,0
1002554,766863.0,702000.0,0.0,0.770988,0.0,0.0,0.0,7.125,71153.5,216633.0,Accountants,Business Entity Type 3,F,14058,4742,8021,220000,5051,Cash loans,0
1002555,720000.0,720000.0,0.0,0.605861,0.535276,-734.5,1274.0,15.02,25352.5,38066.2,Laborers,Industry: type 11,F,9425,1632,3196,240000,2517,Cash loans,0
1002556,178290.0,157500.0,0.0,0.405282,0.0,0.0,0.0,9.0,12613.7,12734.2,Medicine staff,Other,F,8790,1458,3085,260000,292,Cash loans,0
1002557,286529.0,265500.0,0.0,0.679365,0.733815,-1885.5,-1146.5,0.0,0.0,0.0,Laborers,XNA,M,24241,4094,9783,280000,365243,Cash loans,0
1002558,193572.0,171000.0,0.0,0.132018,0.0873043,-295.667,358.0,8.0,33835.2,412730.0,Laborers,Industry: type 3,M,10842,3512,500,300000,1647,Cash loans,0
1002559,646389.0,558000.0,0.0,0.0644813,0.712155,-1093.0,-247.0,12.1754,10452.8,245945.0,Laborers,Transport: type 2,M,14956,1142,337,320000,429,Cash loans,0
1002560,508496.0,454500.0,0.700938,0.623689,0.761026,-1458.0,-726.5,16.15,38197.9,392975.0,Laborers,XNA,F,20041,3526,4237,340000,365243,Cash loans,0
1002561,675000.0,675000.0,0.0,0.722779,0.501075,-1629.5,-515.75,1.42105,4375.72,9736.74,Drivers,Self-employed,M,22283,2506,11430,360000,244,Cash loans,0
1002562,180000.0,180000.0,0.0,0.441696,0.0,0.0,0.0,6.2,8287.94,41982.8,0,0,F,22468,158,10154,380000,365243,Revolving loans,0
1002563,278613.0,252000.0,0.0,0.691919,0.0,0.0,0.0,7.55556,36145.3,93423.4,Accountants,Restaurant,M,8971,1631,4250,400000,1409,Cash loans,0
1002564,505643.0,436500.0,0.729739,0.706836,0.440058,-1393.75,7019.0,10.2121,7489.59,124193.0,Laborers,Business Entity Type 3,F,15010,5126,8826,420000,4028,Cash loans,0
1002565,247500.0,247500.0,0.618196,0.54969,0.656158,-1405.5,-1116.0,10.0,8316.13,8316.13,Laborers,XNA,F,21622,3958,9036,440000,365243,Revolving loans,1
1002566,1467610.0,1350000.0,0.0,0.647008,0.762336,-1730.75,-1219.25,7.26471,28932.2,273367.0,Laborers,XNA,F,22379,337,11941,460000,365243,Cash loans,0
1002567,566055.0,472500.0,0.0,0.460086,0.355639,-980.083,241.333,0.0,0.0,0.0,Drivers,Self-employed,M,19656,3167,5961,480000,3000,Cash loans,0
1002568,781920.0,675000.0,0.0,0.737169,0.819318,-1277.25,-964.625,10.6885,9417.77,20369.6,Laborers,XNA,F,22999,4561,2706,500000,365243,Cash loans,0
1002569,787131.0,679500.0,0.0,0.759375,0.53707,-305.0,-1.0,4.84,13281.8,69943.6,Laborers,Medicine,F,15488,5312,5195,520000,1132,Cash loans,0
1002570,1483230.0,1354500.0,0.604733,0.527129,0.465069,-1447.75,1040.0,6.0,6559.53,6563.92,Laborers,Business Entity Type 3,M,13465,4019,2344,540000,359,Cash loans,0
1002571,1125000.0,1125000.0,0.0,0.487742,0.647977,-901.444,3417.22,8.83333,9375.21,12813.5,Laborers,Industry: type 2,M,14340,4990,8403,560000,2936,Cash loans,1
1002572,1105000.0,990000.0,0.211506,0.631763,0.570917,-1946.0,-935.333,2.25,9981.86,14873.8,Laborers,Business Entity Type 3,M,13346,4194,1210,580000,1433,Cash loans,0
1002573,566055.0,472500.0,0.850399,0.279152,0.684828,-956.0,-530.0,12.0,2545.58,2548.49,Laborers,Business Entity Type 3,F,16793,345,1623,600000,816,Cash loans,0
1002574,495000.0,495000.0,0.0,0.69724,0.643026,-822.333,-254.5,9.70588,19053.4,167695.0,Laborers,Business Entity Type 2,M,12653,4035,24,620000,5227,Revolving loans,0
1002575,269550.0,225000.0,0.475561,0.576149,0.263647,-774.0,786.833,20.7143,51054.3,996826.0,Core staff,Kindergarten,F,12004,2535,1148,640000,1890,Cash loans,0
1002576,1506820.0,1350000.0,0.588261,0.689331,0.572682,-1714.0,-815.667,16.4194,32119.6,450132.0,Core staff,School,F,20627,4055,5677,660000,11435,Cash loans,0
1002577,254700.0,225000.0,0.0,0.236429,0.0,-303.0,2803.0,7.91667,8922.67,29176.7,Laborers,Business Entity Type 3,M,8189,872,314,680000,480,Cash loans,0
1002578,695970.0,553500.0,0.350397,0.57207,0.595456,-1181.86,-331.8,10.6607,16167.8,144674.0,Core staff,Security Ministries,M,13747,6228,285,100000,2730,Cash loans,0
1002579,454500.0,454500.0,0.0,0.46905,0.665855,-1648.0,-480.333,2.45455,8892.94,9150.53,Laborers,XNA,M,21408,1556,9626,120000,365243,Cash loans,0
1002580,417024.0,360000.0,0.655225,0.713909,0.207964,-612.727,93.0909,4.89474,14223.9,57569.5,Laborers,Business Entity Type 3,F,14982,4311,1307,140000,1531,Cash loans,0
1002581,521280.0,450000.0,0.272706,0.514288,0.241861,-911.667,1020.67,7.46667,8699.86,9450.76,Sales staff,Business Entity Type 3,F,10292,584,5139,160000,1596,Cash loans,0
1002582,135000.0,135000.0,0.0,0.750283,0.863363,0.0,0.0,5.4,9041.39,16049.8,Laborers,XNA,F,22842,3998,11173,180000,365243,Cash loans,0
1002583,270000.0,270000.0,0.0,0.508595,0.493863,-1381.2,-448.8,6.0,6753.27,6757.25,Drivers,Industry: type 9,M,14648,2318,749,200000,284,Revolving loans,0
1002584,215865.0,202500.0,0.0,0.294573,0.643026,-979.0,114.5,9.22222,8740.88,8742.74,0,0,F,14231,4579,7855,220000,2917,Cash loans,0
1002585,534204.0,495000.0,0.749753,0.676213,0.626304,-729.0,565.0,17.5,6873.53,9419.94,Laborers,XNA,F,22933,3855,5105,240000,365243,Cash loans,0
1002586,143910.0,135000.0,0.0,0.301688,0.58674,-1262.2,220.9,3.2,7293.76,8080.25,Laborers,Other,M,12045,4034,5890,260000,3733,Cash loans,0
1002587,153576.0,121500.0,0.0,0.25158,0.549596,-1621.91,2198.82,8.79412,10451.3,161435.0,Laborers,Self-employed,F,15366,4874,504,280000,3331,Cash loans,0
1002588,640080.0,450000.0,0.0,0.698632,0.0,0.0,0.0,7.875,9450.57,28827.0,0,1,M,19406,2303,8789,300000,2479,Cash loans,0
1002589,1512800.0,1381500.0,0.694996,0.537288,0.53707,-1335.82,2744.6,27.6829,17669.1,26563.7,High skill tech staff,Government,F,20972,2418,2418,320000,7330,Cash loans,0
1002590,391010.0,391010.0,0.0,0.667962,0.515495,-567.333,-192.2,7.0,9330.89,135000.0,Laborers,Construction,M,9940,138,2560,340000,144,Cash loans,0
1002591,225000.0,225000.0,0.2808,0.718783,0.408359,-262.0,950.0,5.5,10120.2,10121.0,Sales staff,Business Entity Type 3,F,12094,4438,4678,360000,3189,Cash loans,0
1002592,523598.0,468000.0,0.0,0.596865,0.65126,-1072.25,-387.75,6.59259,9927.68,13549.7,Laborers,XNA,F,22743,4374,7752,380000,365243,Cash loans,0
1002593,509922.0,472500.0,0.0,0.137653,0.368969,-213.0,27428.0,3.0,8504.52,8504.82,Sales staff,Self-employed,F,15543,686,9646,400000,272,Cash loans,0
1002594,521280.0,450000.0,0.0,0.276751,0.77641,-1436.0,1659.0,6.54545,20755.2,50627.3,Laborers,Self-employed,F,11345,3946,5445,420000,1516,Cash loans,0
1002595,414792.0,315000.0,0.0,0.678082,0.638044,-1983.88,-1310.71,24.8462,16706.1,292818.0,Laborers,XNA,F,18982,2514,6984,440000,365243,Cash loans,0
1002596,900000.0,900000.0,0.0,0.635494,0.751724,-1613.33,5692.33,5.27586,15978.9,152905.0,Managers,Transport: type 4,M,13893,1060,2076,460000,1138,Cash loans,0
1002597,443088.0,382500.0,0.0,0.135024,0.28813,-811.875,-408.214,0.0,0.0,0.0,Laborers,XNA,M,18095,1637,5669,100000,365243,Cash loans,0
1002598,545040.0,450000.0,0.0,0.508633,0.686382,-606.0,7522.25,6.0,5021.25,12660.8,Low-skill Laborers,Self-employed,M,14496,5048,8116,120000,3121,Cash loans,0
1002599,112068.0,99000.0,0.0,0.589351,0.0,-766.667,2521.17,11.6087,16734.3,113379.0,Laborers,Self-employed,F,14826,4384,8009,140000,3794,Cash loans,0
1002600,693000.0,693000.0,0.0,0.662669,0.652897,-1290.8,-891.6,4.0,25522.0,25522.0,Laborers,XNA,F,23474,4287,12881,160000,365243,Cash loans,0
1002601,1350000.0,1350000.0,0.0,0.346862,0.0,0.0,0.0,0.0,0.0,0.0,Laborers,Business Entity Type 3,F,14559,2262,149,180000,1661,Cash loans,0
1002602,225000.0,225000.0,0.0,0.474794,0.474051,-761.0,-31.0,9.0,13189.0,13189.0,Laborers,XNA,F,24631,4104,9925,200000,365243,Cash loans,0
1002603,508496.0,454500.0,0.0,0.53078,0.631355,-509.8,-6.25,18.4,15980.7,41117.4,Laborers,XNA,F,22871,4830,11094,220000,365243,Cash loans,0
1002604,1185120.0,900000.0,0.0,0.000698277,0.3791,-794.857,418.308,5.45455,21909.7,162945.0,Laborers,Industry: type 3,F,17877,1333,9421,240000,1860,Cash loans,0
1002605,457119.0,342000.0,0.0,0.166848,0.0,0.0,0.0,5.68966,11909.3,24112.3,Cooking staff,School,F,13028,4643,6687,260000,1785,Cash loans,0
1002606,408330.0,292500.0,0.435532,0.593024,0.501075,-554.4,267.4,5.19048,5095.03,13692.9,Laborers,Self-employed,F,14008,1201,7938,280000,631,Cash loans,0
1002607,284400.0,225000.0,0.660404,0.314016,0.377404,-2070.5,-1457.5,14.0,10884.2,10884.2,Laborers,XNA,M,24192,4724,4757,300000,365243,Cash loans,0
1002608,715095.0,675000.0,0.25966,0.708889,0.576209,-525.0,23.0,6.33333,9995.22,17779.4,Laborers,Business Entity Type 3,M,11690,3358,8091,320000,2247,Cash loans,0
1002609,314100.0,225000.0,0.0,0.260228,0.515495,-571.556,-327.889,10.6774,3712.36,6221.02,Laborers,XNA,F,23901,1377,7148,340000,365243,Cash loans,0
1002610,450000.0,450000.0,0.632903,0.44196,0.730987,-1197.5,31010.0,3.33333,21642.6,35528.9,Laborers,XNA,M,23308,2747,738,360000,365243,Revolving loans,0
1002611,385164.0,292500.0,0.0,0.592036,0.454321,-1114.58,511.545,10.4648,21553.9,262807.0,Drivers,Business Entity Type 3,M,16489,46,8867,380000,2468,Cash loans,0
1002612,360000.0,337500.0,0.0,0.254411,0.624615,-1381.75,6561.5,0.0,0.0,0.0,Sales staff,Trade: type 2,M,10885,3450,4664,400000,2143,Revolving loans,0
1002613,276278.0,238500.0,0.0,0.729696,0.614414,-491.0,921.0,11.0,12042.5,94966.2,Medicine staff,Medicine,F,15009,3083,397,420000,265,Cash loans,0
1002614,1075500.0,1075500.0,0.546448,0.66804,0.0,0.0,0.0,23.2308,5489.19,5489.19,Accountants,Self-employed,F,18812,2333,7317,440000,4738,Cash loans,0
1002615,1237500.0,1237500.0,0.0,0.611133,0.549596,-1614.0,-1188.33,7.41667,13272.1,47844.2,High skill tech staff,Business Entity Type 3,M,18364,1845,3108,460000,1119,Cash loans,0
1002616,497520.0,450000.0,0.720101,0.519804,0.401407,-50.0,223.0,4.97619,29262.2,553500.0,Managers,Transport: type 4,M,15113,272,1099,480000,2781,Cash loans,0
1002617,469148.0,351000.0,0.415854,0.605871,0.234015,-925.647,152.0,14.537,6107.21,102375.0,Laborers,Postal,F,16018,5016,4327,500000,2841,Cash loans,0
1002618,755190.0,675000.0,0.0,0.57871,0.665855,-756.8,-49.8,0.0,451231.0,451231.0,Laborers,XNA,M,14912,4494,6315,520000,365243,Cash loans,0
1002619,265500.0,265500.0,0.21707,0.211083,0.10412,-986.0,7150.25,25.1333,12012.4,16164.0,Laborers,Business Entity Type 2,F,11679,3745,785,540000,1230,Cash loans,0
1002620,180000.0,180000.0,0.0,0.458516,0.315472,-506.333,-231.667,7.5,7061.67,7061.67,Sales staff,Trade: type 7,F,11935,2469,11742,560000,1357,Revolving loans,1
1002621,269550.0,225000.0,0.255031,0.0895237,0.758393,-1032.0,-757.5,8.7037,13534.5,139396.0,Laborers,Business Entity Type 3,F,14340,3040,3040,580000,2905,Cash loans,1
1002622,829584.0,630000.0,0.300191,0.583458,0.000527265,-2087.75,-562.5,1.26786,19021.5,334457.0,Laborers,Business Entity Type 3,M,11757,2457,651,600000,778,Cash loans,0
1002623,1574530.0,1350000.0,0.776523,0.426174,0.712155,-2670.0,-2304.0,4.91837,6992.42,12519.2,Core staff,School,F,17343,869,6292,620000,8842,Cash loans,0
1002624,379008.0,360000.0,0.151022,0.756761,0.519097,-1322.5,151.0,16.5909,10724.9,58527.9,Cooking staff,Business Entity Type 3,M,10665,3221,10647,640000,1227,Cash loans,0
1002625,593010.0,495000.0,0.264453,0.7574,0.0,0.0,0.0,21.4146,35484.0,756305.0,Sales staff,Trade: type 3,F,8967,577,4433,660000,1801,Cash loans,0
1002626,1800000.0,1800000.0,0.417578,0.588239,0.802745,-1885.0,5188.0,4.88889,8205.04,9598.05,Accountants,Business Entity Type 3,F,14421,4763,8252,680000,5574,Cash loans,0
1002627,1350000.0,1350000.0,0.861813,0.678654,0.798137,-1476.43,-482.429,5.16667,9498.6,19948.5,Laborers,Business Entity Type 2,F,21426,4365,10329,100000,6587,Cash loans,0
1002628,225000.0,225000.0,0.0,0.333541,0.0,-782.25,-72.0,5.53333,11471.4,146540.0,Laborers,XNA,F,22770,2719,2714,120000,365243,Cash loans,1
1002629,1325480.0,1125000.0,0.901921,0.787873,0.813917,-2742.0,-2405.0,0.0,0.0,0.0,Laborers,XNA,F,22559,4223,12406,140000,365243,Cash loans,0
1002630,450000.0,450000.0,0.0,0.571266,0.73802,-1639.21,-865.308,5.15625,11975.3,12575.3,0,0,M,14200,4591,8248,160000,3298,Revolving loans,0
1002631,504000.0,504000.0,0.456231,0.344191,0.363945,-1411.8,-977.0,19.5789,8922.53,100021.0,Cleaning staff,Security,F,19763,2783,3259,180000,565,Cash loans,0
1002632,624290.0,558000.0,0.15651,0.221256,0.392774,-790.5,210.0,30.2329,26062.2,789735.0,Laborers,XNA,F,16103,4640,127,200000,365243,Cash loans,0
1002633,207000.0,207000.0,0.675012,0.733423,0.499272,-1729.0,-358.5,16.9528,14628.4,168682.0,Managers,Self-employed,M,20934,4341,4186,220000,4371,Cash loans,0
1002634,497520.0,450000.0,0.491551,0.407043,0.53707,-897.0,736.0,7.68421,18047.5,71735.2,Laborers,Business Entity Type 3,M,13083,1990,9386,240000,4491,Cash loans,0
1002635,682875.0,589500.0,0.471978,0.412151,0.0,-1987.0,-1805.0,0.0,0.0,0.0,Laborers,Business Entity Type 3,F,12860,3626,979,260000,619,Cash loans,0
1002636,675000.0,675000.0,0.0,0.598385,0.0,-2351.0,-1615.0,14.25,10276.7,47202.4,Private service staff,Self-employed,F,15589,4633,4711,280000,1872,Cash loans,0
1002637,582804.0,463500.0,0.0,0.724873,0.129314,-322.25,328.333,7.0,2281.6,11207.3,Laborers,Business Entity Type 3,F,12239,4201,3725,300000,282,Cash loans,0
1002638,450000.0,450000.0,0.194278,0.47978,0.554947,-1300.38,-903.125,5.4878,6413.88,8302.82,Core staff,Self-employed,F,9721,2392,4385,320000,490,Cash loans,0
1002639,985748.0,796500.0,0.0,0.711338,0.411849,-1173.08,-747.667,10.6875,23489.5,99805.8,1,0,F,15228,4333,5738,340000,2515,Cash loans,0
1002640,1928300.0,1800000.0,0.769172,0.669885,0.21035,-1575.63,-166.25,4.22222,16976.4,19640.4,Laborers,Business Entity Type 3,F,11641,496,3569,360000,1315,Cash loans,0
1002641,170640.0,135000.0,0.0,0.650879,0.71657,-2307.38,-2081.63,5.15,8385.35,71648.7,Cleaning staff,Business Entity Type 3,F,12544,4532,10661,380000,407,Cash loans,0
1002642,1800000.0,1800000.0,0.0,0.783257,0.56206,-975.25,974.75,5.0,23514.8,23525.6,Laborers,Business Entity Type 3,M,17661,1211,1421,400000,2109,Cash loans,0
1002643,808650.0,675000.0,0.0,0.710381,0.47585,-1246.59,-560.375,5.0,5019.29,7283.16,Managers,Other,M,16790,346,1197,420000,379,Cash loans,0
1002644,900000.0,900000.0,0.702919,0.669895,0.567379,-436.5,2120.0,6.0,11933.1,21683.6,Laborers,Business Entity Type 3,M,14570,4333,8513,440000,955,Cash loans,0
1002645,254700.0,225000.0,0.0,0.34467,0.0867313,-395.222,6864.11,2.73913,35938.9,88354.4,Sales staff,Trade: type 3,M,11135,1703,1481,460000,1990,Cash loans,0
1002646,1288350.0,1125000.0,0.0,0.628695,0.614414,-448.667,229.0,8.88372,32217.0,62236.4,Laborers,XNA,F,22633,4731,11067,100000,365243,Cash loans,0
1002647,312768.0,270000.0,0.0,0.689172,0.0,0.0,0.0,8.5,6689.29,6689.29,High skill tech staff,Other,M,14643,4244,5117,120000,164,Cash loans,0
1002648,450000.0,450000.0,0.361617,0.464331,0.19862,-894.4,157.2,9.06818,12047.2,16691.9,Cooking staff,Hotel,F,10713,2823,4628,140000,993,Cash loans,0
1002649,417024.0,360000.0,0.0,0.700173,0.749022,-745.667,-555.333,0.0,0.0,0.0,0,0,F,24276,4551,4003,160000,365243,Cash loans,0
1002650,728460.0,675000.0,0.0,0.489758,0.217629,-897.4,5811.2,0.0,0.0,0.0,Core staff,School,M,14724,2051,8860,180000,3045,Cash loans,0
1002651,900000.0,900000.0,0.645226,0.622205,0.0,-592.0,10383.0,0.0,0.0,0.0,Managers,Business Entity Type 3,F,12303,640,1556,200000,1145,Cash loans,0
1002652,270000.0,270000.0,0.598913,0.664656,0.707699,-662.667,-348.8,12.3889,23853.6,102954.0,Managers,Agriculture,M,14319,2330,8336,220000,1072,Revolving loans,0
